Recency,Frequency,Monetary,Cluster,Segment
5.111987788356544,2.4849066497880004,5.923881395784186,3,Medium Engagement
1.3862943611198906,1.0986122886681098,7.188654399137086,0,Low Engagement
4.31748811353631,0.6931471805599453,5.407889002977328,2,At-Risk
3.784189633918261,1.3862943611198906,7.890634928493537,3,Medium Engagement
2.4849066497880004,0.6931471805599453,5.710195202428391,0,Low Engagement
2.4849066497880004,1.0986122886681098,5.842964538789538,0,Low Engagement
3.8066624897703196,0.6931471805599453,5.764438468529547,0,Low Engagement
5.318119993844216,0.6931471805599453,6.192791845141295,2,At-Risk
2.833213344056216,1.3862943611198906,8.177880925727598,3,Medium Engagement
3.2188758248682006,1.0986122886681098,9.399388421773175,3,Medium Engagement
2.4849066497880004,1.3862943611198906,7.908390835753873,3,Medium Engagement
4.127134385045092,1.9459101490553132,7.8494642138008395,3,Medium Engagement
2.772588722239781,1.791759469228055,7.372639576782921,3,Medium Engagement
4.59511985013459,1.3862943611198906,5.775637911756629,2,At-Risk
5.926926025970411,0.6931471805599453,4.875197323201151,2,At-Risk
5.598421958998375,0.6931471805599453,6.217085028297085,2,At-Risk
5.579729825986222,0.6931471805599453,6.822959627277421,2,At-Risk
3.912023005428146,1.3862943611198906,7.491171295388921,3,Medium Engagement
5.564520407322694,1.3862943611198906,6.653662709523911,3,Medium Engagement
3.828641396489095,1.3862943611198906,7.687272797776933,3,Medium Engagement
5.564520407322694,1.0986122886681098,6.638633232051267,2,At-Risk
4.060443010546419,1.3862943611198906,7.717480324827861,3,Medium Engagement
3.258096538021482,1.0986122886681098,6.222873842839224,0,Low Engagement
2.8903717578961645,1.0986122886681098,7.495097400645106,0,Low Engagement
5.293304824724492,0.6931471805599453,7.250422572266261,2,At-Risk
4.07753744390572,1.0986122886681098,6.645064961365095,3,Medium Engagement
4.624972813284271,2.0794415416798357,8.84685514777555,3,Medium Engagement
2.772588722239781,0.6931471805599453,7.570133925870445,0,Low Engagement
1.0986122886681098,0.6931471805599453,5.560296941647445,0,Low Engagement
3.9512437185814275,0.6931471805599453,4.976319863681136,2,At-Risk
4.406719247264253,1.0986122886681098,7.022377769818835,3,Medium Engagement
3.6635616461296463,1.3862943611198906,7.268453120207762,3,Medium Engagement
4.61512051684126,1.791759469228055,7.734637581412393,3,Medium Engagement
5.429345628954441,0.6931471805599453,5.462771921513567,2,At-Risk
2.9444389791664403,1.0986122886681098,6.706678945704534,0,Low Engagement
2.0794415416798357,1.6094379124341003,7.625419446955158,1,High Engagement
5.739792912179234,0.6931471805599453,6.837794081676172,2,At-Risk
3.091042453358316,1.3862943611198906,6.750692028402277,0,Low Engagement
3.9318256327243257,0.6931471805599453,5.32908902521479,2,At-Risk
3.367295829986474,1.791759469228055,6.939544601471544,3,Medium Engagement
5.062595033026967,0.6931471805599453,6.3846208787485486,2,At-Risk
5.765191102784844,0.6931471805599453,4.162626069638506,2,At-Risk
3.58351893845611,1.3862943611198906,7.998355557040068,3,Medium Engagement
3.091042453358316,1.3862943611198906,7.281537062982867,3,Medium Engagement
4.04305126783455,1.6094379124341003,9.421218610934066,3,Medium Engagement
4.9344739331306915,0.6931471805599453,5.772624223613607,2,At-Risk
3.828641396489095,0.6931471805599453,5.8519150821578965,0,Low Engagement
3.6635616461296463,1.3862943611198906,7.223332148627434,3,Medium Engagement
3.6635616461296463,0.6931471805599453,5.490382962291385,0,Low Engagement
4.605170185988092,1.3862943611198906,5.968707559985366,2,At-Risk
2.4849066497880004,2.0794415416798357,9.880466591956658,1,High Engagement
5.680172609017068,0.6931471805599453,5.315960801720632,2,At-Risk
3.8501476017100584,2.4849066497880004,8.054938660206197,1,High Engagement
3.912023005428146,1.3862943611198906,7.210537764156515,3,Medium Engagement
3.091042453358316,1.0986122886681098,6.222596109144375,0,Low Engagement
3.9512437185814275,1.0986122886681098,5.678669773841126,0,Low Engagement
